district_name,state_name,cattle,buffalo,sheep,goat,horse,pony
Deoria,Uttar Pradesh,287843,190894,2198,255563,236,46
Azamgarh,Uttar Pradesh,460458,477563,10885,299653,139,15
Mau,Uttar Pradesh,173304,192711,3205,171962,140,35
Ballia,Uttar Pradesh,434902,249786,18560,157490,1125,206
Jaunpur,Uttar Pradesh,536940,584454,27321,276543,126,20
Ghazipur,Uttar Pradesh,386272,505965,19171,151400,233,66
Chandauli,Uttar Pradesh,338393,323117,17087,89091,104,90
Varanasi,Uttar Pradesh,306849,243685,9665,124528,48,4
Sant Ravidas Nagar,Uttar Pradesh,212465,156603,22209,47738,35,0
Mirzapur,Uttar Pradesh,511188,287582,71717,126877,342,30
Sonbhadra,Uttar Pradesh,550069,148632,22718,240083,20,11
Etah,Uttar Pradesh,90184,593550,2200,98507,412,21
Kasganj,Uttar Pradesh,79666,527709,5629,84550,783,4
Amethi,Uttar Pradesh,315654,342664,8094,214207,1211,31
Hapur,Uttar Pradesh,102115,246786,959,30690,782,5
Sambhal,Uttar Pradesh,174913,710993,2040,84709,1751,93
Shamli,Uttar Pradesh,117891,253286,2842,21559,1310,23
Darjeeling,West Bengal,203881,6992,969,164834,123,72
Jalpaiguri,West Bengal,727592,5381,8169,512322,6,0
Coochbehar,West Bengal,1226670,6397,63824,486974,173,23
Dinajpur Uttar,West Bengal,1091590,12384,1521,885282,14,0
Dinajpur Dakshin,West Bengal,532056,1920,6295,598137,6,0
Maldah,West Bengal,1038763,38439,32919,1376487,53,7
Murshidabad,West Bengal,1199817,66783,51415,1751276,274,14
Birbhum,West Bengal,1185333,94938,159206,1168796,21,0
Bardhaman,West Bengal,1532669,58942,135965,1370985,66,177
Nadia,West Bengal,816780,17157,24669,924339,95,15
24 Paraganas North,West Bengal,697601,34443,34356,780001,31,0
Hooghly,West Bengal,912745,35229,1655,886410,8,3
Bankura,West Bengal,1491831,64427,71889,1064468,36,3
Purulia,West Bengal,915274,77650,186925,966681,14,0
Howrah,West Bengal,226388,5724,237,157017,2,1
Kolkata,West Bengal,1003,459,93,3625,0,0
24 Paraganas South,West Bengal,1019495,11709,82258,791587,266,5
Medinipur West,West Bengal,1758443,37649,18172,872869,20,8
Medinipur East,West Bengal,1093499,263,5948,475230,17,0
Alipurduar,West Bengal,520443,2209,7476,281764,10,3
PASCHIM BARDHAMAN,West Bengal,273637,22682,6498,256143,0,18
KALIMPONG,West Bengal,48915,129,82,64109,7,0
Jhargram,West Bengal,563491,29015,52345,440004,2,0
